Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
rain_accuracy
0,1.2155039617326524,0.5703333333333334,0.9599228533744812,0.6728
1,0.8346799191474914,0.7092444444444445,0.7946948700904847,0.7206
2,0.7080264117558798,0.7524888888888889,0.8245397287368774,0.7174
3,0.6311089986483256,0.7823111111111111,0.7457084523200989,0.7376
4,0.5678354761865404,0.8058,0.7396792238235473,0.74
5,0.5186314794222514,0.8206444444444444,0.7326919040679931,0.7498
6,0.48501907517645093,0.8348666666666666,0.6144785977840423,0.7912
7,0.44591396213107637,0.8469111111111111,0.6539616808891296,0.7746
8,0.41585393800735476,0.8578,0.6751925038576126,0.7808
9,0.390588363149431,0.8671111111111112,0.5764431069374084,0.799
10,0.37235692478815713,0.8703111111111111,0.645012734413147,0.7884
11,0.3515166673236423,0.8817777777777778,0.5979259056568146,0.8058
12,0.32661612420611913,0.8890888888888889,0.6233914012908935,0.7844
13,0.3170323173628913,0.8925333333333333,0.6384931794643403,0.7894
14,0.3008532512134976,0.8987555555555555,0.6686283261299133,0.7794
15,0.2886004478560554,0.9024444444444445,0.6421771524429322,0.79
16,0.2791705586327447,0.9061111111111111,0.6419442155599594,0.788
17,0.27038516348997754,0.9095555555555556,0.7093470781326294,0.7696
18,0.258769976906644,0.9127333333333333,0.6307734468460083,0.796
19,0.2510728434085846,0.9164666666666667,0.7754853704452515,0.763
20,0.2493484351740943,0.9156888888888889,0.6469072124958039,0.7952
