Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.226264535829756,0.5640888888888889,1.0307853292942046,0.636
1,0.840495379808214,0.7056,0.8570093193531036,0.704
2,0.7060704542371962,0.7535777777777778,0.7673327684402466,0.731
3,0.6182013442569309,0.7865111111111112,0.743949115371704,0.7498
4,0.565281341764662,0.8039777777777778,0.8470341431617737,0.7066
5,0.5194884672482808,0.8192444444444444,0.7177877915382386,0.7494
6,0.47477294308344525,0.8373333333333334,0.626182708454132,0.787
7,0.4434084147082435,0.8478444444444444,0.6784551875114441,0.7702
8,0.41485206809043884,0.8584888888888889,0.715495278596878,0.7618
9,0.39199139490127566,0.8665111111111111,0.64926301831007,0.7788
10,0.36760789891348944,0.8745777777777778,0.6296337074756623,0.7846
11,0.3486143318494161,0.8804888888888889,0.6154645583748818,0.7992
12,0.32910160842471653,0.8888888888888888,0.6291956902503967,0.7842
13,0.3163315705564287,0.8929555555555555,0.7169801965236664,0.7722
14,0.29838593147065906,0.8996222222222222,0.6953059204816818,0.7712
15,0.29106504260169136,0.9016888888888889,0.7605053755223751,0.763
16,0.2784486363569895,0.9057555555555555,0.5944653861165047,0.8056
17,0.2678919381459554,0.9098,0.5839281089305878,0.8074
18,0.262186201816135,0.9112444444444444,0.6817840913057327,0.7872
19,0.25345440452098844,0.9156222222222222,0.6250424623966218,0.7996
