Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.909545565952725,0.3023688888888889,2.7103345640182495,0.133
1,1.7291788995785184,0.3734,3.0120899600982667,0.1556
2,1.6188520762634278,0.41785333333333335,3.345826523590088,0.154
3,1.558259177669949,0.43888,4.259472019577026,0.1714
4,1.5187077442338732,0.45309333333333335,4.5071253524780275,0.1438
5,1.4922831443489923,0.4636577777777778,4.329575363159179,0.1454
6,1.47157435766432,0.4709333333333333,5.132186940383911,0.1326
7,1.4541143069034153,0.47790222222222223,4.506138946342468,0.155
8,1.4387662160449557,0.4841066666666667,4.549107848167419,0.169
9,1.4266511081526014,0.4873866666666667,5.1629816904067996,0.1504
