Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.8941696774376764,0.3015511111111111,3.0550795763015746,0.109
1,1.7204740319018894,0.3712577777777778,2.664830442047119,0.1054
2,1.6438412259250217,0.40353333333333335,2.7587771657943727,0.1058
3,1.6047469974984063,0.4189555555555556,2.746456067276001,0.0998
4,1.5764956670591566,0.43021333333333334,2.6158796919822693,0.1162
5,1.5548175536431206,0.4400177777777778,3.0093094742774964,0.1086
6,1.5346974632559882,0.44634666666666667,3.3994983609199525,0.0986
7,1.5197980466079712,0.4537911111111111,2.8432196517944335,0.1004
8,1.5054921711095175,0.4596133333333333,2.9417756036758425,0.1004
9,1.495994242846171,0.46210666666666667,3.073439241409302,0.1136
