Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,0.7273815682135688,0.7466444444444444,0.8224516109466553,0.7336
1,0.3586573789437612,0.8801333333333333,0.6842288494110107,0.779
2,0.24149300478935243,0.9222533333333334,0.742611463356018,0.7654
3,0.19338209308094448,0.9389466666666667,0.6170403034210205,0.8104
4,0.16996674901432463,0.9467644444444444,0.6758193241119385,0.7838
5,0.15917818280325996,0.9495777777777777,0.6654287931442261,0.7986
6,0.14717069496207766,0.9541422222222222,0.71065436668396,0.7896
7,0.14005183486620584,0.95692,0.7222248536586762,0.7876
8,0.13438110649400287,0.9581822222222223,0.6908400749206542,0.7884
9,0.13218511348062092,0.9588622222222222,0.652015478515625,0.7976
