Epoch_of_10,train_loss,train_accuracy,test_loss,test_accuracy
0,1.2088260330412124,0.5683111111111111,1.0177037475585937,0.6472
1,0.833827684020996,0.7077111111111111,0.9862583698272706,0.6808
2,0.7007018386734857,0.7570444444444444,0.8853466142654419,0.7104
3,0.6131478871557448,0.7871777777777778,0.8794021196365357,0.7068
4,0.5505636584069994,0.8092888888888888,0.7937577550888062,0.7376
5,0.499372785504659,0.8267555555555556,0.7377981132030487,0.7566
6,0.4499655211130778,0.8468,0.6970192207336425,0.7574
7,0.4160144105381436,0.8575111111111111,0.6508626799583435,0.7752
8,0.3792451663070255,0.8708666666666667,0.5615428186416626,0.8104
9,0.34618502339257134,0.8833333333333333,0.6591700075149536,0.782
