Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,0.742089841632843,0.7428488888888889,0.6975073683738708,0.7614
1,0.3927056063779195,0.8687555555555555,0.6448504113674164,0.7838
2,0.2928671864944034,0.9035555555555556,0.6813957941532135,0.7822
3,0.25090470020188227,0.9179066666666666,0.6532736101150513,0.7874
4,0.22824545180956524,0.9263422222222222,0.6233114351272583,0.7982
5,0.21273008001221552,0.9308933333333334,0.6709214948654175,0.8008
6,0.19932207092709012,0.9356711111111111,0.7139795789718628,0.7848
7,0.18936661044491662,0.9383288888888889,0.7217048353672028,0.7862
8,0.18400382948080699,0.9405333333333333,0.7655315384864807,0.7772
9,0.17880468872335223,0.9423688888888889,0.8403693490982056,0.755
10,0.17242616336398656,0.9446133333333333,0.6620812241792678,0.797
11,0.16993621296246847,0.9448844444444444,0.7076851998329162,0.7882
12,0.16489846820619372,0.9465733333333334,0.7446475820779801,0.7808
13,0.1644165416373147,0.9464711111111112,0.7283234335899353,0.7936
14,0.16290163066652086,0.9470311111111112,0.6924269635200501,0.7958
15,0.1604809880182478,0.9477244444444445,0.7717409587860108,0.766
16,0.15985204647329118,0.9481422222222222,0.6941441161632538,0.7964
17,0.1568116334406535,0.9496311111111111,0.6969329091072083,0.7994
18,0.15538913088215722,0.9495822222222222,0.6824349931240081,0.798
19,0.15382762425025304,0.9503733333333333,0.712707618713379,0.7868
