Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.197319134097629,0.5740444444444445,1.018107486152649,0.6404
1,0.8165062710815005,0.7144222222222222,0.8768589908599853,0.6782
2,0.6930825470818414,0.7598222222222222,0.7689589712142945,0.7278
3,0.6151640788820055,0.7875111111111112,0.7188148481369019,0.7436
4,0.5584873799324036,0.8066444444444445,0.6538783001422882,0.7724
5,0.5078788506825765,0.8252444444444444,0.8384779436588288,0.7194
6,0.47682478356891206,0.8366222222222223,0.6436707025527955,0.7842
7,0.4432696894221836,0.848,0.6534934057235717,0.7808
8,0.41514352232615154,0.8569111111111111,0.6407576735496521,0.7842
9,0.388893649980757,0.8685111111111111,0.5726467670440674,0.7984
10,0.36656953172153894,0.8733555555555556,0.6385887434005737,0.7868
11,0.35197254658805,0.8806,0.6454490895867347,0.788
12,0.3321699486838447,0.8881111111111111,0.6624712703704834,0.781
13,0.3138971426433987,0.8933111111111111,0.7273521389245987,0.7698
14,0.30495573767556083,0.8960222222222223,0.6433172407269477,0.7948
15,0.2884851523505317,0.9032,0.9812112411499023,0.7086
16,0.2809653262058894,0.9045111111111112,0.5958289375782013,0.8016
17,0.2703210394647386,0.9079777777777778,0.6203795371055603,0.7992
18,0.264279051428371,0.9098888888888889,0.6622014073133469,0.7882
19,0.2562532311916351,0.9131111111111111,0.6208375052452088,0.805
