Epoch_of_20,train_loss,train_accuracy,test_loss,test_accuracy
0,1.2029380447387696,0.5746666666666667,1.0188975057601928,0.6376
1,0.8248819897333781,0.7108444444444444,0.9203034854888916,0.6806
2,0.7048867525842455,0.7568222222222222,1.1701080062389373,0.6292
3,0.6244158162911733,0.7840222222222222,0.7417795127868653,0.7462
4,0.5691852978918287,0.8043777777777777,0.7990532263755799,0.7316
5,0.5210340578556061,0.8204888888888889,0.7532121698379517,0.7376
6,0.48266367994944254,0.8346222222222223,0.6882971458435059,0.7694
7,0.449460839955012,0.8445333333333334,0.7300257635593415,0.756
8,0.42383187007374235,0.8547555555555556,0.6174348222970962,0.7862
9,0.39087279302808975,0.8663111111111111,0.6473034600257873,0.784
10,0.37396559831301374,0.8733555555555556,0.6871748352527618,0.7646
11,0.35042598237991335,0.8788,0.7276535481929779,0.7612
12,0.34131126755608454,0.8842222222222222,0.7165347593665123,0.7658
13,0.31951439436409207,0.8930222222222223,0.6442132075786591,0.7894
14,0.3048501772509681,0.8958,0.6497666204452515,0.7908
15,0.29322986336814033,0.9016666666666666,0.6931909610778093,0.7728
16,0.2881197884718577,0.9016666666666666,0.6631754400730133,0.7828
17,0.2783797504425049,0.9053777777777777,0.6191781924247741,0.7968
18,0.2668299051178826,0.9110444444444444,0.6794011796474457,0.7816
19,0.2603167519781325,0.9124222222222222,0.6791868709564209,0.777
